dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,acc,Lg,Ll
dermmnist,MobileNetV3,L50_G50,2,6.0,82.0,86.06,112.0,1.0,1.0,0.05,0.066574,0.9787,0.0,0.0
dermmnist,MobileNetV3,L50_G50,2,9.0,80.0,80.63,112.0,1.0,1.0,0.05,0.030229,0.9921,0.0,0.0
dermmnist,MobileNetV3,L50_G50,2,10.0,155.0,155.21,112.0,0.0,0.0,0.05,0.02856,0.992,0.070234,0.194063
dermmnist,MobileNetV3,L50_G50,2,13.0,96.0,94.38,112.0,1.0,1.0,0.05,0.014513,0.9951,0.0,0.0
dermmnist,MobileNetV3,L50_G50,2,15.0,123.0,126.34,112.0,0.0,0.0,0.05,0.020828,0.9933,0.012849,0.045774
dermmnist,MobileNetV3,L50_G50,2,16.0,74.0,76.08,112.0,1.0,1.0,0.05,0.026037,0.9913,0.0,0.0
dermmnist,MobileNetV3,L50_G50,2,19.0,93.0,96.46,112.0,1.0,1.0,0.05,0.01079,0.9976,0.0,0.0
dermmnist,MobileNetV3,L50_G50,2,20.0,262.0,260.53,112.0,0.0,0.0,0.05,0.009856,0.9968,0.303994,0.924592
dermmnist,MobileNetV3,L50_G50,2,23.0,97.0,100.64,112.0,1.0,1.0,0.05,0.028514,0.9913,0.0,0.0
dermmnist,MobileNetV3,L50_G50,2,25.0,134.0,136.01,112.0,0.0,0.0,0.05,0.029699,0.9889,0.028087,0.084499
dermmnist,MobileNetV3,L50_G50,2,26.0,106.0,112.04,112.0,1.0,1.0,0.05,0.008201,0.9976,1.7e-05,0.001987
dermmnist,MobileNetV3,L50_G50,2,27.0,102.0,101.93,112.0,1.0,1.0,0.05,0.010738,0.9971,0.0,0.0
dermmnist,MobileNetV3,L50_G50,2,30.0,86.0,83.39,112.0,1.0,1.0,0.05,0.003582,0.9989,0.0,0.0
tissuemnist,MobileNetV3,L50_G50,4,2.0,25.0,159.77,86.0,1.0,1.0,0.05,1.088043,0.5954,0.12907,0.258173
tissuemnist,MobileNetV3,L50_G50,4,3.0,58.0,128.97,86.0,1.0,1.0,0.05,0.939811,0.6508,0.066607,0.133154
tissuemnist,MobileNetV3,L50_G50,4,4.0,47.0,101.95,86.0,1.0,1.0,0.05,0.767571,0.7154,0.01614,0.032271
tissuemnist,MobileNetV3,L50_G50,4,5.0,58.0,86.58,86.0,1.0,1.0,0.05,0.574119,0.7878,0.000344,0.00161
tissuemnist,MobileNetV3,L50_G50,4,10.0,101.0,109.86,86.0,0.0,0.0,0.05,0.11663,0.9615,0.02872,0.057829
tissuemnist,MobileNetV3,L50_G50,4,15.0,68.0,71.41,86.0,1.0,1.0,0.05,0.04425,0.9867,0.0,0.0
tissuemnist,MobileNetV3,L50_G50,4,20.0,116.0,121.44,86.0,0.0,0.0,0.05,0.04618,0.9832,0.050885,0.102314
tissuemnist,MobileNetV3,L50_G50,4,25.0,123.0,130.43,86.0,0.0,0.0,0.05,0.03854,0.9881,0.06969,0.138917
tissuemnist,MobileNetV3,L50_G50,4,30.0,103.0,111.44,86.0,0.0,0.0,0.05,0.018242,0.9942,0.031522,0.063671
tissuemnist,MobileNetV3,L50_G50,3,2.0,76.0,168.82,86.0,1.0,1.0,0.05,1.07426,0.5982,0.144824,0.289724
tissuemnist,MobileNetV3,L50_G50,3,3.0,72.0,118.29,86.0,1.0,1.0,0.05,0.935749,0.6491,0.044528,0.089574
tissuemnist,MobileNetV3,L50_G50,3,4.0,63.0,98.54,86.0,1.0,1.0,0.05,0.755305,0.7164,0.01157,0.024159
tissuemnist,MobileNetV3,L50_G50,3,5.0,50.0,98.0,86.0,1.0,1.0,0.05,0.577662,0.7893,0.0109,0.021976
tissuemnist,MobileNetV3,L50_G50,1,2.0,35.0,196.14,86.0,1.0,1.0,0.05,1.102201,0.5869,0.183388,0.366819
tissuemnist,MobileNetV3,L50_G50,1,5.0,46.0,94.07,86.0,1.0,1.0,0.05,0.592507,0.7811,0.006471,0.013589
tissuemnist,MobileNetV3,L50_G50,1,10.0,206.0,205.19,86.0,0.0,0.0,0.05,0.134495,0.9557,0.193454,0.386644
