method,model,tag,seed,cc_f1,macro_f1,flips,ctime_min
hounie_rcl,ViTB16,L30_G30,2,0.2972972972972973,0.6686767984109412,60,14.960717491308849
hounie_rcl,ViTB16,L30_G30,3,0.3911671924290221,0.7122409753316622,18,11.123527975877126
hounie_rcl,ViTB16,L30_G30,4,0.33663366336633666,0.698188167703532,46,12.509229759375254
hounie_rh,ViTB16,L30_G30,1,0.39747634069400634,0.7168462637919846,18,33.78081673383713
hounie_rh,ViTB16,L30_G30,2,0.42724458204334365,0.7093965662093134,11,33.78026798963547
hounie_rh,ViTB16,L30_G30,3,0.41975308641975306,0.7210320378633681,4,12.916836714744568
hounie_rh,ViTB16,L30_G30,4,0.41975308641975306,0.7287761491758831,4,14.792255306243897
tralo,ViTB16,L30_G30,1,0.4161490683229814,0.7231202405264205,8,4.64595312277476
tralo,ViTB16,L30_G30,2,0.43209876543209874,0.7123895251900467,4,6.786677471796671
tralo,ViTB16,L30_G30,3,0.41846153846153844,0.7236870181100952,2,4.424742941061655
tralo,ViTB16,L30_G30,4,0.42592592592592593,0.7313798316269298,4,5.176710359255472
fioretto_ldf,MobileNetV3,L40_G40,1,0.46107784431137727,0.7190372216274881,34,2.6348183115323383
fioretto_ldf,MobileNetV3,L40_G40,2,0.49710982658959535,0.7303623054462738,13,4.306734621524811
fioretto_ldf,MobileNetV3,L40_G40,3,0.4985507246376812,0.7419481985237273,12,2.9158214410146077
