campaign,dataset,cap,model,seed,method,N,K,frac_shift,mu_c,mu_top1,top1_share,top1_class,n_infl_classes,dL2,cnt_before,cnt_after,cnt_shift_only,AP_before,AP_after,AP_shift_only
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,tralo,1190,20,0.19474336726312655,-2.5374286258495764,2.9411495073036407,0.9512112663368214,3,1,8.898151784170746,99,20,86,0.9807736678887062,0.7781536717066104,0.9786161387687926
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,tralo,1190,20,0.2708538240690861,-2.5255860294196038,3.2003139490784,1.0,3,1,7.893919829091015,99,14,86,0.9807736678887062,0.7093005326270738,0.9782407369705598
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,tralo,1190,20,0.11845884687590404,-2.460582465420553,1.7867636568111651,0.7261547547872079,3,2,9.025623631665505,99,19,90,0.9807736678887062,0.8146382921205277,0.9802026054097892
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,fioretto_ldf,1190,20,0.21516545537930104,-2.748573835842583,3.3587038623593046,0.9694506133634049,3,1,9.485479157101635,99,10,85,0.9807736678887062,0.7135529157799135,0.9779544737461169
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,fioretto_ldf,1190,20,0.27268054556781574,-2.558686220287609,3.281325933757512,1.0,3,1,8.031850952531048,99,12,86,0.9807736678887062,0.6987071722419972,0.9780881035476414
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,fioretto_ldf,1190,20,0.1612568017251223,-3.0317225480326453,2.147588087785503,0.6415887523568322,2,2,9.754098385094922,99,14,89,0.9807736678887062,0.7775671544837394,0.9802394221889664
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,hounie_rcl,1190,20,0.23608871020695393,-3.0656885034146653,4.056417620844427,1.0,3,1,10.647445170685216,99,2,84,0.9807736678887062,0.5428586694176708,0.9772812680309076
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,hounie_rcl,1190,20,0.26882373776829294,-2.9245830717478527,4.076042580069343,1.0,3,1,9.802785138198356,99,3,85,0.9807736678887062,0.35663496846776455,0.9768578623222531
results/pending_runs/contamination_aider,aider,L20_G20,MobileNetV3,2,hounie_rcl,1190,20,0.21584916326867556,-3.812386054962434,3.012393424486351,0.6503528542003295,2,2,11.164217557697421,99,3,86,0.9807736678887062,0.6082872063867532,0.9794904138004528
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,tralo,1190,31,0.14889381814269015,-2.4434945814442495,1.558554896665521,0.611443548021598,3,2,7.942121576209738,105,31,91,0.9908592265831311,0.8135272871948364,0.9904816464856809
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,tralo,1190,31,0.26808564491888726,-2.005606918062915,2.054876689182676,0.7919238711788019,3,2,5.75649663117774,105,31,91,0.9908592265831311,0.8719591649926958,0.9904804454931948
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,tralo,1190,31,0.15943238434041967,-2.3884998115253375,1.743649857968782,0.5724037153238635,3,2,8.258754651683647,105,29,91,0.9908592265831311,0.8169610032254675,0.9901427524925567
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,fioretto_ldf,1190,31,0.16436057758725497,-2.5904092822381957,1.7945154538504555,0.6400434158155933,3,2,8.17880610279288,105,24,90,0.9908592265831311,0.7847221855211051,0.9904745867515523
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,fioretto_ldf,1190,31,0.27010124757903126,-2.014915729074774,2.18217857476565,0.8357837928933489,3,1,5.88700839669894,105,24,90,0.9908592265831311,0.8602000491620031,0.9903844474980372
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,fioretto_ldf,1190,31,0.21427073336428298,-3.025662997889648,2.7454912850474766,0.7214089699637829,2,2,9.273040880090631,105,23,90,0.9908592265831311,0.7836310396782339,0.9891223945324313
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,hounie_rcl,1190,31,0.19823217259824555,-2.954330150418114,2.3650954747422377,0.6956492499041087,3,2,8.868470801486811,105,9,89,0.9908592265831311,0.6401519657850657,0.9902700145854965
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,hounie_rcl,1190,31,0.27356552026469966,-2.3723309182631547,2.740509033791676,0.8551795599774502,3,1,7.165587498010378,105,7,89,0.9908592265831311,0.7178827027619598,0.9900975002654114
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,1,hounie_rcl,1190,31,0.26521724905705946,-3.749958273100927,3.2992316541212077,0.6554583819737724,2,2,10.564780878576615,105,4,85,0.9908592265831311,0.6235354540715099,0.9886243987469254
results/pending_runs/contamination_aider,aider,L30_G30,MobileNetV3,2,tralo,1190,31,0.1816545074352816,-2.286397621436156,2.7002292138711295,0.9780148834621785,3,1,8.37708840736713,99,28,88,0.9807736678887062,0.8384635745426601,0.9788037085024627
